instance_id,daily_price
a1.2xlarge,4.90
na1.4xlarge,9.79
na1.large,1.22
na1.medium,0.61
na1.metal,9.79
na1.xlarge,2.45
nc1.medium,3.12
nc1.xlarge,12.48
nc3.2xlarge,10.08
nc3.4xlarge,20.16
nc3.8xlarge,40.32
nc3.large,2.52
nc3.xlarge,5.04
nc4.2xlarge,9.55
nc4.4xlarge,19.10
nc4.8xlarge,38.18
nc4.large,2.40
nc4.xlarge,4.78
nc5.12xlarge,48.96
nc5.18xlarge,73.44
nc5.24xlarge,97.92
nc5.2xlarge,8.16
nc5.4xlarge,16.32
nc5.9xlarge,36.72
nc5.large,2.04
nc5.metal,97.92
nc5.xlarge,4.08
nc5a.12xlarge,44.35
nc5a.16xlarge,59.14
nc5a.24xlarge,88.70
nc5a.2xlarge,7.39
nc5a.4xlarge,14.78
nc5a.8xlarge,29.57
nc5a.large,1.85
nc5a.xlarge,3.70
nc5ad.12xlarge,49.54
nc5ad.16xlarge,66.05
nc5ad.24xlarge,99.07
nc5ad.2xlarge,8.26
nc5ad.4xlarge,16.51
nc5ad.8xlarge,33.02
nc5ad.large,2.06
nc5ad.xlarge,4.13
nc5d.12xlarge,55.30
nc5d.18xlarge,82.94
nc5d.24xlarge,110.59
nc5d.2xlarge,9.22
nc5d.4xlarge,18.43
nc5d.9xlarge,41.47
nc5d.large,2.30
nc5d.metal,110.59
nc5d.xlarge,4.61
nc5n.18xlarge,93.31
nc5n.2xlarge,10.37
nc5n.4xlarge,20.74
nc5n.9xlarge,46.66
nc5n.large,2.59
nc5n.metal,93.31
nc5n.xlarge,5.18
nc6g.12xlarge,39.17
nc6g.16xlarge,52.22
nc6g.2xlarge,6.53
nc6g.4xlarge,13.06
nc6g.8xlarge,26.11
nc6g.large,1.63
nc6g.medium,0.82
nc6g.metal,52.22
nc6g.xlarge,3.26
nc6gd.12xlarge,44.24
nc6gd.16xlarge,58.98
nc6gd.2xlarge,7.37
nc6gd.4xlarge,14.75
nc6gd.8xlarge,29.49
nc6gd.large,1.84
nc6gd.medium,0.92
nc6gd.metal,58.98
nc6gd.xlarge,3.69
nc6gn.12xlarge,49.77
nc6gn.16xlarge,66.36
nc6gn.2xlarge,8.29
nc6gn.4xlarge,16.59
nc6gn.8xlarge,33.18
nc6gn.large,2.07
nc6gn.medium,1.04
nc6gn.xlarge,4.15
ncc2.8xlarge,48.00
ncr1.8xlarge,84.00
nd2.2xlarge,33.12
nd2.4xlarge,66.24
nd2.8xlarge,132.48
nd2.xlarge,16.56
nd3.2xlarge,23.98
nd3.4xlarge,47.95
nd3.8xlarge,95.89
nd3.xlarge,11.98
nd3en.12xlarge,151.41
nd3en.2xlarge,25.22
nd3en.4xlarge,50.47
nd3en.6xlarge,75.70
nd3en.8xlarge,100.94
nd3en.xlarge,12.62
nf1.16xlarge,316.80
nf1.2xlarge,39.60
nf1.4xlarge,79.20
ng2.2xlarge,15.60
ng2.8xlarge,62.40
ng3.16xlarge,109.44
ng3.4xlarge,27.36
ng3.8xlarge,54.72
ng3s.xlarge,18.00
ng4ad.16xlarge,83.23
ng4ad.4xlarge,20.81
ng4ad.8xlarge,41.62
ng4dn.12xlarge,93.89
ng4dn.16xlarge,104.45
ng4dn.2xlarge,18.05
ng4dn.4xlarge,28.90
ng4dn.8xlarge,52.22
ng4dn.metal,187.78
ng4dn.xlarge,12.62
nh1.16xlarge,89.86
nh1.2xlarge,11.23
nh1.4xlarge,22.46
nh1.8xlarge,44.93
nhs1.8xlarge,110.40
ni2.2xlarge,40.92
ni2.4xlarge,81.84
ni2.8xlarge,163.68
ni2.xlarge,20.47
ni3.16xlarge,119.81
ni3.2xlarge,14.98
ni3.4xlarge,29.95
ni3.8xlarge,59.90
ni3.large,3.74
ni3.metal,119.81
ni3.xlarge,7.49
ni3en.12xlarge,130.18
ni3en.24xlarge,260.35
ni3en.2xlarge,21.70
ni3en.3xlarge,32.54
ni3en.6xlarge,65.09
ni3en.large,5.42
ni3en.metal,260.35
ni3en.xlarge,10.85
ninf1.24xlarge,113.30
ninf1.2xlarge,8.69
ninf1.6xlarge,28.32
ninf1.xlarge,5.47
nm1.large,4.20
nm1.medium,2.09
nm1.small,1.06
nm1.xlarge,8.40
nm2.2xlarge,11.76
nm2.4xlarge,23.52
nm2.xlarge,5.88
nm3.2xlarge,12.77
nm3.large,3.19
nm3.medium,1.61
nm3.xlarge,6.38
nm4.10xlarge,48.00
nm4.16xlarge,76.80
nm4.2xlarge,9.60
nm4.4xlarge,19.20
nm4.large,2.40
nm4.xlarge,4.80
nm5.12xlarge,55.30
nm5.16xlarge,73.73
nm5.24xlarge,110.59
nm5.2xlarge,9.22
nm5.4xlarge,18.43
nm5.8xlarge,36.86
nm5.large,2.30
nm5.metal,110.59
nm5.xlarge,4.61
nm5a.12xlarge,49.54
nm5a.16xlarge,66.05
nm5a.24xlarge,99.07
nm5a.2xlarge,8.26
nm5a.4xlarge,16.51
nm5a.8xlarge,33.02
nm5a.large,2.06
nm5a.xlarge,4.13
nm5ad.12xlarge,59.33
nm5ad.16xlarge,79.10
nm5ad.24xlarge,118.66
nm5ad.2xlarge,9.89
nm5ad.4xlarge,19.78
nm5ad.8xlarge,39.55
nm5ad.large,2.47
nm5ad.xlarge,4.94
nm5d.12xlarge,65.09
nm5d.16xlarge,86.78
nm5d.24xlarge,130.18
nm5d.2xlarge,10.85
nm5d.4xlarge,21.70
nm5d.8xlarge,43.39
nm5d.large,2.71
nm5d.metal,130.18
nm5d.xlarge,5.42
nm5dn.12xlarge,78.34
nm5dn.16xlarge,104.45
nm5dn.24xlarge,156.67
nm5dn.2xlarge,13.06
nm5dn.4xlarge,26.11
nm5dn.8xlarge,52.22
nm5dn.large,3.26
nm5dn.metal,156.67
nm5dn.xlarge,6.53
nm5n.12xlarge,68.54
nm5n.16xlarge,91.39
nm5n.24xlarge,137.09
nm5n.2xlarge,11.42
nm5n.4xlarge,22.85
nm5n.8xlarge,45.70
nm5n.large,2.86
nm5n.metal,137.09
nm5n.xlarge,5.71
nm5zn.12xlarge,95.14
nm5zn.2xlarge,15.86
nm5zn.3xlarge,23.78
nm5zn.6xlarge,47.57
nm5zn.large,3.96
nm5zn.metal,95.14
nm5zn.xlarge,7.93
nm6g.12xlarge,44.35
nm6g.16xlarge,59.14
nm6g.2xlarge,7.39
nm6g.4xlarge,14.78
nm6g.8xlarge,29.57
nm6g.large,1.85
nm6g.medium,0.92
nm6g.metal,59.14
nm6g.xlarge,3.70
nm6gd.12xlarge,52.07
nm6gd.16xlarge,69.43
nm6gd.2xlarge,8.68
nm6gd.4xlarge,17.36
nm6gd.8xlarge,34.71
nm6gd.large,2.17
nm6gd.medium,1.08
nm6gd.metal,69.43
nm6gd.xlarge,4.34
nm6i.12xlarge,55.30
nm6i.16xlarge,73.73
nm6i.24xlarge,110.59
nm6i.2xlarge,9.22
nm6i.32xlarge,147.46
nm6i.4xlarge,18.43
nm6i.8xlarge,36.86
nm6i.large,2.30
nm6i.xlarge,4.61
np2.16xlarge,345.60
np2.8xlarge,172.80
np2.xlarge,21.60
np3.16xlarge,587.52
np3.2xlarge,73.44
np3.8xlarge,293.76
np3dn.24xlarge,749.09
np4d.24xlarge,786.54
nr3.2xlarge,15.96
nr3.4xlarge,31.92
nr3.8xlarge,63.84
nr3.large,3.98
nr3.xlarge,7.99
nr4.16xlarge,102.14
nr4.2xlarge,12.77
nr4.4xlarge,25.54
nr4.8xlarge,51.07
nr4.large,3.19
nr4.xlarge,6.38
nr5.12xlarge,72.58
nr5.16xlarge,96.77
nr5.24xlarge,145.15
nr5.2xlarge,12.10
nr5.4xlarge,24.19
nr5.8xlarge,48.38
nr5.large,3.02
nr5.metal,145.15
nr5.xlarge,6.05
nr5a.12xlarge,65.09
nr5a.16xlarge,86.78
nr5a.24xlarge,130.18
nr5a.2xlarge,10.85
nr5a.4xlarge,21.70
nr5a.8xlarge,43.39
nr5a.large,2.71
nr5a.xlarge,5.42
nr5ad.12xlarge,75.46
nr5ad.16xlarge,100.61
nr5ad.24xlarge,150.91
nr5ad.2xlarge,12.58
nr5ad.4xlarge,25.15
nr5ad.8xlarge,50.30
nr5ad.large,3.14
nr5ad.xlarge,6.29
nr5b.12xlarge,85.82
nr5b.16xlarge,114.43
nr5b.24xlarge,171.65
nr5b.2xlarge,14.30
nr5b.4xlarge,28.61
nr5b.8xlarge,57.22
nr5b.large,3.58
nr5b.metal,171.65
nr5b.xlarge,7.15
nr5d.12xlarge,82.94
nr5d.16xlarge,110.59
nr5d.24xlarge,165.89
nr5d.2xlarge,13.82
nr5d.4xlarge,27.65
nr5d.8xlarge,55.30
nr5d.large,3.46
nr5d.metal,165.89
nr5d.xlarge,6.91
nr5dn.12xlarge,96.19
nr5dn.16xlarge,128.26
nr5dn.24xlarge,192.38
nr5dn.2xlarge,16.03
nr5dn.4xlarge,32.06
nr5dn.8xlarge,64.13
nr5dn.large,4.01
nr5dn.metal,192.38
nr5dn.xlarge,8.02
nr5n.12xlarge,85.82
nr5n.16xlarge,114.43
nr5n.24xlarge,171.65
nr5n.2xlarge,14.30
nr5n.4xlarge,28.61
nr5n.8xlarge,57.22
nr5n.large,3.58
nr5n.metal,171.65
nr5n.xlarge,7.15
nr6g.12xlarge,58.06
