instance_id,daily_price
a1.2xlarge,4.90
a1.4xlarge,9.79
a1.large,1.22
a1.medium,0.61
a1.metal,9.79
a1.xlarge,2.45
c1.medium,3.12
c1.xlarge,12.48
c3.2xlarge,10.08
c3.4xlarge,20.16
c3.8xlarge,40.32
c3.large,2.52
c3.xlarge,5.04
c4.2xlarge,9.55
c4.4xlarge,19.10
c4.8xlarge,38.18
c4.large,2.40
c4.xlarge,4.78
c5.12xlarge,48.96
c5.18xlarge,73.44
c5.24xlarge,97.92
c5.2xlarge,8.16
c5.4xlarge,16.32
c5.9xlarge,36.72
c5.large,2.04
c5.metal,97.92
c5.xlarge,4.08
c5a.12xlarge,44.35
c5a.16xlarge,59.14
c5a.24xlarge,88.70
c5a.2xlarge,7.39
c5a.4xlarge,14.78
c5a.8xlarge,29.57
c5a.large,1.85
c5a.xlarge,3.70
c5ad.12xlarge,49.54
c5ad.16xlarge,66.05
c5ad.24xlarge,99.07
c5ad.2xlarge,8.26
c5ad.4xlarge,16.51
c5ad.8xlarge,33.02
c5ad.large,2.06
c5ad.xlarge,4.13
c5d.12xlarge,55.30
c5d.18xlarge,82.94
c5d.24xlarge,110.59
c5d.2xlarge,9.22
c5d.4xlarge,18.43
c5d.9xlarge,41.47
c5d.large,2.30
c5d.metal,110.59
c5d.xlarge,4.61
c5n.18xlarge,93.31
c5n.2xlarge,10.37
c5n.4xlarge,20.74
c5n.9xlarge,46.66
c5n.large,2.59
c5n.metal,93.31
c5n.xlarge,5.18
c6g.12xlarge,39.17
c6g.16xlarge,52.22
c6g.2xlarge,6.53
c6g.4xlarge,13.06
c6g.8xlarge,26.11
c6g.large,1.63
c6g.medium,0.82
c6g.metal,52.22
c6g.xlarge,3.26
c6gd.12xlarge,44.24
c6gd.16xlarge,58.98
c6gd.2xlarge,7.37
c6gd.4xlarge,14.75
c6gd.8xlarge,29.49
c6gd.large,1.84
c6gd.medium,0.92
c6gd.metal,58.98
c6gd.xlarge,3.69
c6gn.12xlarge,49.77
c6gn.16xlarge,66.36
c6gn.2xlarge,8.29
c6gn.4xlarge,16.59
c6gn.8xlarge,33.18
c6gn.large,2.07
c6gn.medium,1.04
c6gn.xlarge,4.15
cc2.8xlarge,48.00
cr1.8xlarge,84.00
d2.2xlarge,33.12
d2.4xlarge,66.24
d2.8xlarge,132.48
d2.xlarge,16.56
d3.2xlarge,23.98
d3.4xlarge,47.95
d3.8xlarge,95.89
d3.xlarge,11.98
d3en.12xlarge,151.41
d3en.2xlarge,25.22
d3en.4xlarge,50.47
d3en.6xlarge,75.70
d3en.8xlarge,100.94
d3en.xlarge,12.62
f1.16xlarge,316.80
f1.2xlarge,39.60
f1.4xlarge,79.20
g2.2xlarge,15.60
g2.8xlarge,62.40
g3.16xlarge,109.44
g3.4xlarge,27.36
g3.8xlarge,54.72
g3s.xlarge,18.00
g4ad.16xlarge,83.23
g4ad.4xlarge,20.81
g4ad.8xlarge,41.62
g4dn.12xlarge,93.89
g4dn.16xlarge,104.45
g4dn.2xlarge,18.05
g4dn.4xlarge,28.90
g4dn.8xlarge,52.22
g4dn.metal,187.78
g4dn.xlarge,12.62
h1.16xlarge,89.86
h1.2xlarge,11.23
h1.4xlarge,22.46
h1.8xlarge,44.93
hs1.8xlarge,110.40
i2.2xlarge,40.92
i2.4xlarge,81.84
i2.8xlarge,163.68
i2.xlarge,20.47
i3.16xlarge,119.81
i3.2xlarge,14.98
i3.4xlarge,29.95
i3.8xlarge,59.90
i3.large,3.74
i3.metal,119.81
i3.xlarge,7.49
i3en.12xlarge,130.18
i3en.24xlarge,260.35
i3en.2xlarge,21.70
i3en.3xlarge,32.54
i3en.6xlarge,65.09
i3en.large,5.42
i3en.metal,260.35
i3en.xlarge,10.85
inf1.24xlarge,113.30
inf1.2xlarge,8.69
inf1.6xlarge,28.32
inf1.xlarge,5.47
m1.large,4.20
m1.medium,2.09
m1.small,1.06
m1.xlarge,8.40
m2.2xlarge,11.76
m2.4xlarge,23.52
m2.xlarge,5.88
m3.2xlarge,12.77
m3.large,3.19
m3.medium,1.61
m3.xlarge,6.38
m4.10xlarge,48.00
m4.16xlarge,76.80
m4.2xlarge,9.60
m4.4xlarge,19.20
m4.large,2.40
m4.xlarge,4.80
m5.12xlarge,55.30
m5.16xlarge,73.73
m5.24xlarge,110.59
m5.2xlarge,9.22
m5.4xlarge,18.43
m5.8xlarge,36.86
m5.large,2.30
m5.metal,110.59
m5.xlarge,4.61
m5a.12xlarge,49.54
m5a.16xlarge,66.05
m5a.24xlarge,99.07
m5a.2xlarge,8.26
m5a.4xlarge,16.51
m5a.8xlarge,33.02
m5a.large,2.06
m5a.xlarge,4.13
m5ad.12xlarge,59.33
m5ad.16xlarge,79.10
m5ad.24xlarge,118.66
m5ad.2xlarge,9.89
m5ad.4xlarge,19.78
m5ad.8xlarge,39.55
m5ad.large,2.47
m5ad.xlarge,4.94
m5d.12xlarge,65.09
m5d.16xlarge,86.78
m5d.24xlarge,130.18
m5d.2xlarge,10.85
m5d.4xlarge,21.70
m5d.8xlarge,43.39
m5d.large,2.71
m5d.metal,130.18
m5d.xlarge,5.42
m5dn.12xlarge,78.34
m5dn.16xlarge,104.45
m5dn.24xlarge,156.67
m5dn.2xlarge,13.06
m5dn.4xlarge,26.11
m5dn.8xlarge,52.22
