cloud_service_id,processor_manufacturer,vcpu_memgb_ratio,gCO2eq24hs,cloud_provider_id,category,vcpu,architecture,daily_price,memory_gb,network,clock_speed_ghz,graviton_suggestion,instance_id,memgb_vcpu_ratio,gpu
aws-ec2,graviton,0.5,659.3,aws,compute,8,arm64,4.9,16,Up to 10 Gigabit,2.3,,a1.2xlarge,2,0
aws-ec2,graviton,0.5,1319.9,aws,compute,16,arm64,9.79,32,Up to 10 Gigabit,2.3,,a1.4xlarge,2,0
aws-ec2,graviton,0.5,165.4,aws,compute,2,arm64,1.22,4,Up to 10 Gigabit,2.3,,a1.large,2,0
aws-ec2,graviton,0.5,81.5,aws,compute,1,arm64,0.61,2,Up to 10 Gigabit,2.3,,a1.medium,2,0
aws-ec2,graviton,0.5,,aws,compute,16,arm64,9.79,32,Up to 10 Gigabit,2.3,,a1.metal,2,0
aws-ec2,graviton,0.5,329.7,aws,compute,4,arm64,2.45,8,Up to 10 Gigabit,2.3,,a1.xlarge,2,0
aws-ec2,intel,1.1764705882352942,140.2,aws,compute,2,x86_64,3.12,1.7,Moderate,,no_equivalent,c1.medium,0.85,0
aws-ec2,intel,1.1428571428571428,556,aws,compute,8,x86_64,12.48,7,High,,no_equivalent,c1.xlarge,0.875,0
aws-ec2,intel,0.5333333333333333,761.9,aws,compute,8,x86_64,10.08,15,High,2.8,no_equivalent,c3.2xlarge,1.875,0
aws-ec2,intel,0.5333333333333333,1523.9,aws,compute,16,x86_64,20.16,30,High,2.8,no_equivalent,c3.4xlarge,1.875,0
aws-ec2,intel,0.5333333333333333,3044.2,aws,compute,32,x86_64,40.32,60,10 Gigabit,2.8,no_equivalent,c3.8xlarge,1.875,0
aws-ec2,intel,0.5333333333333333,190.5,aws,compute,2,x86_64,2.52,3.75,Moderate,2.8,no_equivalent,c3.large,1.875,0
aws-ec2,intel,0.5333333333333333,379.8,aws,compute,4,x86_64,5.04,7.5,Moderate,2.8,no_equivalent,c3.xlarge,1.875,0
aws-ec2,intel,0.5333333333333333,819.4,aws,compute,8,x86_64,9.55,15,High,2.9,c6g.2xlarge,c4.2xlarge,1.875,0
aws-ec2,intel,0.5333333333333333,1639.9,aws,compute,16,x86_64,19.1,30,High,2.9,c6g.4xlarge,c4.4xlarge,1.875,0
aws-ec2,intel,0.6,3654.8,aws,compute,36,x86_64,38.18,60,10 Gigabit,2.9,c6g.8xlarge,c4.8xlarge,1.6666666666666667,0
aws-ec2,intel,0.5333333333333333,206,aws,compute,2,x86_64,2.4,3.75,Moderate,2.9,c6g.large,c4.large,1.875,0
aws-ec2,intel,0.5333333333333333,410.9,aws,compute,4,x86_64,4.78,7.5,High,2.9,c6g.xlarge,c4.xlarge,1.875,0
aws-ec2,intel,0.5,4552.2,aws,compute,48,x86_64,48.96,96,12 Gigabit,3,c6g.12xlarge,c5.12xlarge,2,0
aws-ec2,intel,0.5,6657,aws,compute,72,x86_64,73.44,144,25 Gigabit,3,c6g.18xlarge,c5.18xlarge,2,0
aws-ec2,intel,0.5,9108.1,aws,compute,96,x86_64,97.92,192,25 Gigabit,3,c6g.24xlarge,c5.24xlarge,2,0
aws-ec2,intel,0.5,739,aws,compute,8,x86_64,8.16,16,Up to 10 Gigabit,3,c6g.2xlarge,c5.2xlarge,2,0
aws-ec2,intel,0.5,1478,aws,compute,16,x86_64,16.32,32,Up to 10 Gigabit,3,c6g.4xlarge,c5.4xlarge,2,0
aws-ec2,intel,0.5,3327.3,aws,compute,36,x86_64,36.72,72,10 Gigabit,3,c6g.9xlarge,c5.9xlarge,2,0
aws-ec2,intel,0.5,185.7,aws,compute,2,x86_64,2.04,4,Up to 10 Gigabit,3,c6g.large,c5.large,2,0
aws-ec2,intel,0.5,,aws,compute,96,x86_64,97.92,192,25 Gigabit,3,no_equivalent,c5.metal,2,0
aws-ec2,intel,0.5,371.3,aws,compute,4,x86_64,4.08,8,Up to 10 Gigabit,3,c6g.xlarge,c5.xlarge,2,0
aws-ec2,amd,0.5,2487.9,aws,compute,48,x86_64,44.35,96,12 Gigabit,2.8,c6g.12xlarge,c5a.12xlarge,2,0
aws-ec2,amd,0.5,3318,aws,compute,64,x86_64,59.14,128,20 Gigabit,2.8,c6g.16xlarge,c5a.16xlarge,2,0
aws-ec2,amd,0.5,4975.8,aws,compute,96,x86_64,88.7,192,20 Gigabit,2.8,c6g.24xlarge,c5a.24xlarge,2,0
aws-ec2,amd,0.5,414.4,aws,compute,8,x86_64,7.39,16,Up to 10 Gigabit,2.8,c6g.2xlarge,c5a.2xlarge,2,0
aws-ec2,amd,0.5,828.9,aws,compute,16,x86_64,14.78,32,Up to 10 Gigabit,2.8,c6g.4xlarge,c5a.4xlarge,2,0
