gpu,vcpu_memgb_ratio,clock_speed_ghz,daily_price,cloud_service_id,memory_gb,memgb_vcpu_ratio,vcpu,processor_manufacturer,instance_id,architecture,cloud_provider_id,gCO2eq24hs,network,category
0,0.5,2.3,4.9,aws-ec2,16,2,8,graviton,a1.2xlarge,arm64,aws,659.3,Up to 10 Gigabit,compute
0,0.5,2.3,9.79,aws-ec2,32,2,16,graviton,a1.4xlarge,arm64,aws,1319.9,Up to 10 Gigabit,compute
0,0.5,2.3,1.22,aws-ec2,4,2,2,graviton,a1.large,arm64,aws,165.4,Up to 10 Gigabit,compute
0,0.5,2.3,0.61,aws-ec2,2,2,1,graviton,a1.medium,arm64,aws,81.5,Up to 10 Gigabit,compute
0,0.5,2.3,9.79,aws-ec2,32,2,16,graviton,a1.metal,arm64,aws,,Up to 10 Gigabit,compute
0,0.5,2.3,2.45,aws-ec2,8,2,4,graviton,a1.xlarge,arm64,aws,329.7,Up to 10 Gigabit,compute
0,1.1764705882352942,,3.12,aws-ec2,1.7,0.85,2,intel,c1.medium,x86_64,aws,140.2,Moderate,compute
0,1.1428571428571428,,12.48,aws-ec2,7,0.875,8,intel,c1.xlarge,x86_64,aws,556,High,compute
0,0.5333333333333333,2.8,10.08,aws-ec2,15,1.875,8,intel,c3.2xlarge,x86_64,aws,761.9,High,compute
0,0.5333333333333333,2.8,20.16,aws-ec2,30,1.875,16,intel,c3.4xlarge,x86_64,aws,1523.9,High,compute
0,0.5333333333333333,2.8,40.32,aws-ec2,60,1.875,32,intel,c3.8xlarge,x86_64,aws,3044.2,10 Gigabit,compute
0,0.5333333333333333,2.8,2.52,aws-ec2,3.75,1.875,2,intel,c3.large,x86_64,aws,190.5,Moderate,compute
0,0.5333333333333333,2.8,5.04,aws-ec2,7.5,1.875,4,intel,c3.xlarge,x86_64,aws,379.8,Moderate,compute
0,0.5333333333333333,2.9,9.55,aws-ec2,15,1.875,8,intel,c4.2xlarge,x86_64,aws,819.4,High,compute
0,0.5333333333333333,2.9,19.1,aws-ec2,30,1.875,16,intel,c4.4xlarge,x86_64,aws,1639.9,High,compute
0,0.6,2.9,38.18,aws-ec2,60,1.6666666666666667,36,intel,c4.8xlarge,x86_64,aws,3654.8,10 Gigabit,compute
0,0.5333333333333333,2.9,2.4,aws-ec2,3.75,1.875,2,intel,c4.large,x86_64,aws,206,Moderate,compute
0,0.5333333333333333,2.9,4.78,aws-ec2,7.5,1.875,4,intel,c4.xlarge,x86_64,aws,410.9,High,compute
0,0.5,3,48.96,aws-ec2,96,2,48,intel,c5.12xlarge,x86_64,aws,4552.2,12 Gigabit,compute
0,0.5,3,73.44,aws-ec2,144,2,72,intel,c5.18xlarge,x86_64,aws,6657,25 Gigabit,compute
0,0.5,3,97.92,aws-ec2,192,2,96,intel,c5.24xlarge,x86_64,aws,9108.1,25 Gigabit,compute
0,0.5,3,8.16,aws-ec2,16,2,8,intel,c5.2xlarge,x86_64,aws,739,Up to 10 Gigabit,compute
0,0.5,3,16.32,aws-ec2,32,2,16,intel,c5.4xlarge,x86_64,aws,1478,Up to 10 Gigabit,compute
0,0.5,3,36.72,aws-ec2,72,2,36,intel,c5.9xlarge,x86_64,aws,3327.3,10 Gigabit,compute
0,0.5,3,2.04,aws-ec2,4,2,2,intel,c5.large,x86_64,aws,185.7,Up to 10 Gigabit,compute
0,0.5,3,97.92,aws-ec2,192,2,96,intel,c5.metal,x86_64,aws,,25 Gigabit,compute
0,0.5,3,4.08,aws-ec2,8,2,4,intel,c5.xlarge,x86_64,aws,371.3,Up to 10 Gigabit,compute
0,0.5,2.8,44.35,aws-ec2,96,2,48,amd,c5a.12xlarge,x86_64,aws,2487.9,12 Gigabit,compute
0,0.5,2.8,59.14,aws-ec2,128,2,64,amd,c5a.16xlarge,x86_64,aws,3318,20 Gigabit,compute
0,0.5,2.8,88.7,aws-ec2,192,2,96,amd,c5a.24xlarge,x86_64,aws,4975.8,20 Gigabit,compute
0,0.5,2.8,7.39,aws-ec2,16,2,8,amd,c5a.2xlarge,x86_64,aws,414.4,Up to 10 Gigabit,compute
0,0.5,2.8,14.78,aws-ec2,32,2,16,amd,c5a.4xlarge,x86_64,aws,828.9,Up to 10 Gigabit,compute
0,0.5,2.8,29.57,aws-ec2,64,2,32,amd,c5a.8xlarge,x86_64,aws,1659,10 Gigabit,compute
0,0.5,2.8,1.85,aws-ec2,4,2,2,amd,c5a.large,x86_64,aws,103,Up to 10 Gigabit,compute
0,0.5,2.8,3.7,aws-ec2,8,2,4,amd,c5a.xlarge,x86_64,aws,207.2,Up to 10 Gigabit,compute
0,0.5,2.8,49.54,aws-ec2,96,2,48,amd,c5ad.12xlarge,x86_64,aws,2557.5,12 Gigabit,compute
0,0.5,2.8,66.05,aws-ec2,128,2,64,amd,c5ad.16xlarge,x86_64,aws,3411.6,20 Gigabit,compute
0,0.5,2.8,99.07,aws-ec2,192,2,96,amd,c5ad.24xlarge,x86_64,aws,5115,20 Gigabit,compute
0,0.5,2.8,8.26,aws-ec2,16,2,8,amd,c5ad.2xlarge,x86_64,aws,426.4,Up to 10 Gigabit,compute
0,0.5,2.8,16.51,aws-ec2,32,2,16,amd,c5ad.4xlarge,x86_64,aws,852.9,Up to 10 Gigabit,compute
0,0.5,2.8,33.02,aws-ec2,64,2,32,amd,c5ad.8xlarge,x86_64,aws,1704.6,10 Gigabit,compute
0,0.5,2.8,2.06,aws-ec2,4,2,2,amd,c5ad.large,x86_64,aws,107.8,Up to 10 Gigabit,compute
0,0.5,2.8,4.13,aws-ec2,8,2,4,amd,c5ad.xlarge,x86_64,aws,212,Up to 10 Gigabit,compute
0,0.5,3,55.3,aws-ec2,96,2,48,intel,c5d.12xlarge,x86_64,aws,4691.4,12 Gigabit,compute
0,0.5,3,82.94,aws-ec2,144,2,72,intel,c5d.18xlarge,x86_64,aws,6796.2,25 Gigabit,compute
0,0.5,3,110.59,aws-ec2,192,2,96,intel,c5d.24xlarge,x86_64,aws,9386.5,25 Gigabit,compute
0,0.5,3,9.22,aws-ec2,16,2,8,intel,c5d.2xlarge,x86_64,aws,755.8,Up to 10 Gigabit,compute
0,0.5,3,18.43,aws-ec2,32,2,16,intel,c5d.4xlarge,x86_64,aws,1509.2,Up to 10 Gigabit,compute
0,0.5,3,41.47,aws-ec2,72,2,36,intel,c5d.9xlarge,x86_64,aws,3396.9,10 Gigabit,compute
0,0.5,3,2.3,aws-ec2,4,2,2,intel,c5d.large,x86_64,aws,188.1,Up to 10 Gigabit,compute
0,0.5,3,110.59,aws-ec2,192,2,96,intel,c5d.metal,x86_64,aws,,25 Gigabit,compute
