instance_id,gCO2eq24hs
a1.2xlarge,659.3
a1.4xlarge,1319.9
a1.large,165.4
a1.medium,81.5
a1.xlarge,329.7
c1.medium,140.2
c1.xlarge,556
c3.2xlarge,761.9
c3.4xlarge,1523.9
c3.8xlarge,3044.2
c3.large,190.5
c3.xlarge,379.8
c4.2xlarge,819.4
c4.4xlarge,1639.9
c4.8xlarge,3654.8
c4.large,206
c4.xlarge,410.9
c5.12xlarge,4552.2
c5.18xlarge,6657
c5.24xlarge,9108.1
c5.2xlarge,739
c5.4xlarge,1478
c5.9xlarge,3327.3
c5.large,185.7
c5.xlarge,371.3
c5a.12xlarge,2487.9
c5a.16xlarge,3318
c5a.24xlarge,4975.8
c5a.2xlarge,414.4
c5a.4xlarge,828.9
c5a.8xlarge,1659
c5a.large,103
c5a.xlarge,207.2
c5ad.12xlarge,2557.5
c5ad.16xlarge,3411.6
c5ad.24xlarge,5115
c5ad.2xlarge,426.4
c5ad.4xlarge,852.9
c5ad.8xlarge,1704.6
c5ad.large,107.8
c5ad.xlarge,212
c5d.12xlarge,4691.4
c5d.18xlarge,6796.2
c5d.24xlarge,9386.5
c5d.2xlarge,755.8
c5d.4xlarge,1509.2
c5d.9xlarge,3396.9
c5d.large,188.1
c5d.xlarge,378.5
c5n.18xlarge,7012.7
c5n.2xlarge,776.1
c5n.4xlarge,1552.2
c5n.9xlarge,3504.5
c5n.large,194
c5n.xlarge,389.3
c6g.12xlarge,2344.6
c6g.16xlarge,3124.5
c6g.2xlarge,391.8
c6g.4xlarge,782.3
c6g.8xlarge,1562.3
c6g.large,97
c6g.medium,47.9
c6g.xlarge,195.3
c6gd.12xlarge,2447.8
c6gd.16xlarge,3263.7
c6gd.2xlarge,408.6
c6gd.4xlarge,815.9
c6gd.8xlarge,1631.9
c6gd.large,101.8
c6gd.medium,50.3
c6gd.xlarge,204.9
c6gn.12xlarge,2344.6
c6gn.16xlarge,3124.5
c6gn.2xlarge,391.8
c6gn.4xlarge,782.3
c6gn.8xlarge,1562.3
c6gn.large,97
c6gn.medium,47.9
c6gn.xlarge,195.3
cc2.8xlarge,3875.9
cr1.8xlarge,4793.2
d2.2xlarge,1029.2
d2.4xlarge,2059.6
d2.8xlarge,4489.5
d2.xlarge,515.2
d3.2xlarge,894.8
d3.4xlarge,1790.7
d3.8xlarge,3581.5
d3.xlarge,448
d3en.12xlarge,4282.5
d3en.2xlarge,712.8
d3en.4xlarge,1427.9
d3en.6xlarge,2141.9
d3en.8xlarge,2854.6
d3en.xlarge,358.2
dc2.8xlarge,4177.5
dc2.large,258.8
ds2.8xlarge,4071.9
ds2.xlarge,472
f1.16xlarge,9224.8
f1.2xlarge,1153.5
f1.4xlarge,2305.9
g2.2xlarge,3064.8
g2.8xlarge,12255.7
g3.16xlarge,17403.4
g3.4xlarge,4349.7
g3.8xlarge,8701.7
g3s.xlarge,3114.6
g4ad.16xlarge,12531.7
g4ad.4xlarge,3131.7
g4ad.8xlarge,6265.8
g4dn.12xlarge,6967.4
g4dn.16xlarge,6557.5
g4dn.2xlarge,1372.6
g4dn.4xlarge,2111.7
g4dn.8xlarge,3592.4
g4dn.xlarge,1000
h1.16xlarge,5654
h1.2xlarge,708.1
h1.4xlarge,1412.6
h1.8xlarge,2828.8
hs1.8xlarge,2720
i2.2xlarge,1099.9
i2.4xlarge,2202.1
i2.8xlarge,4400.7
i2.xlarge,549.9
i3.16xlarge,6738.7
i3.2xlarge,842.2
i3.4xlarge,1683.2
i3.8xlarge,3370
i3.large,210.8
i3.xlarge,421.7
i3en.12xlarge,6506.4
i3en.24xlarge,13011.6
i3en.2xlarge,1084
i3en.3xlarge,1625.4
i3en.6xlarge,3253.2
i3en.large,271.9
i3en.xlarge,541.4
inf1.24xlarge,9108.1
inf1.2xlarge,758.1
inf1.6xlarge,2276.7
inf1.xlarge,378.5
m1.large,237.2
m1.medium,118.6
m1.small,109
